date_2020,ID,dateu,PM2.5_daily,temperature
3/9/2022,21267,2022-03-09,436.424,67.467
2/25/2022,31261,2022-02-25,427.92,63.3
3/8/2022,21267,2022-03-08,392.296,84
2/23/2022,53383,2022-02-23,334.128,78.333
3/17/2022,47595,2022-03-17,301.462,73
2/25/2022,53383,2022-02-25,295.095,74.833
3/18/2022,47595,2022-03-18,286.947,81.458
3/15/2022,31261,2022-03-15,286.516,63.433
2/27/2022,53383,2022-02-27,264.891,51.867
2/21/2022,5872,2022-02-21,259.041,83.433
3/4/2022,36451,2022-03-04,254.083,85.167
2/21/2022,21267,2022-02-21,244.23,76.767
2/22/2022,53383,2022-02-22,241.334,72.967
3/20/2022,36451,2022-03-20,232.851,72.828
3/7/2022,21267,2022-03-07,231.843,86.4
2/24/2022,53383,2022-02-24,229.81,64.533
3/15/2022,21267,2022-03-15,224.825,79.069
2/25/2022,36451,2022-02-25,211.392,71.6
3/13/2022,21267,2022-03-13,211.112,60.133
2/27/2022,21267,2022-02-27,209.706,54.967
3/10/2022,21267,2022-03-10,207.19,59.833
2/26/2022,21267,2022-02-26,199.471,64.733
3/11/2022,21267,2022-03-11,199.427,65.967
3/20/2022,53383,2022-03-20,196.319,73.933
3/6/2022,47465,2022-03-06,189.4,83.9
3/3/2022,21267,2022-03-03,189.39,90.267
3/19/2022,21267,2022-03-19,189.316,86.233
3/5/2022,21267,2022-03-05,186.43,78.033
3/4/2022,21267,2022-03-04,181.797,80.267
3/2/2022,21267,2022-03-02,180.541,83.138
3/1/2022,53383,2022-03-01,179.53,73.433
3/14/2022,21267,2022-03-14,175.845,74.655
2/28/2022,53383,2022-02-28,171.642,68.7
3/1/2022,21267,2022-03-01,167.932,75.448
3/20/2022,21267,2022-03-20,166.903,79.867
3/15/2022,47595,2022-03-15,159.787,73.5
3/14/2022,31261,2022-03-14,155.377,61.033
3/2/2022,53383,2022-03-02,147.912,82.033
3/5/2022,52885,2022-03-05,146.683,78.833
2/26/2022,53383,2022-02-26,144.852,58.567
3/4/2022,38875,2022-03-04,144.333,77.1
3/3/2022,47555,2022-03-03,118.928,87.833
3/5/2022,55111,2022-03-05,115.485,75.286
3/18/2022,12787,2022-03-18,115.083,92.067
3/6/2022,2873,2022-03-06,110.632,89.433
3/7/2022,6020,2022-03-07,108.924,77.067
3/4/2022,12286,2022-03-04,106.908,70.267
2/25/2022,6020,2022-02-25,103.413,74.733
3/3/2022,4329,2022-03-03,101.242,88.6
3/3/2022,55111,2022-03-03,100.539,85.767
3/11/2022,36451,2022-03-11,99.05,76.667
2/27/2022,12807,2022-02-27,96.336,57.933
3/9/2022,12807,2022-03-09,94.313,70.423
3/19/2022,53383,2022-03-19,88.837,85.6
3/2/2022,55111,2022-03-02,86.733,78.148
3/5/2022,38875,2022-03-05,86.69,85.3
3/3/2022,6020,2022-03-03,83.494,86.267
3/14/2022,38917,2022-03-14,83.157,70.8
3/5/2022,4329,2022-03-05,79.086,78.933
3/3/2022,48459,2022-03-03,78.43,85.167
3/6/2022,4329,2022-03-06,77.293,87.267
3/6/2022,20809,2022-03-06,77.159,84.6
3/6/2022,47477,2022-03-06,74.832,87.467
3/4/2022,55111,2022-03-04,74.477,71.533
3/19/2022,2873,2022-03-19,73.833,87.1
3/16/2022,47633,2022-03-16,73.657,77.3
3/15/2022,12835,2022-03-15,73.418,75.633
