year,id,prop_name,zip_code,primary_property_type,area,built_year,energy_star_score,electricity_use,nat_gas_use,lat,long
2020,232458,Harper Square Cooperative,60615,Multifamily Housing,627680,1974,22,16397682.8,43537490.6,41.80747487,-87.59126397
2020,254616,Former Coyne College,60607,Office,555524,2019,49,28606427.7,2199940.1,41.873335,-87.65102071
2020,103812,400 W Superior St,60654,Office,130007,1998,61,6489281.3,1493523.2,41.89575232,-87.638901
2020,254073,Blue Moon Lofts,60607,Multifamily Housing,83000,1908,100,1614582.3,825006.6,41.87429514,-87.65017516
2020,254385,"Ambulatory Care Center, St. Bernard Hospital",60621,Medical Office,98018,2016,59,4204723.5,2236782.3,41.77391183,-87.63872071
2020,157607,Hilliard Homes Limited Partnership (Senior),60616,Multifamily Housing,311326,1966,75,4993793,15777294.8,41.853983,-87.630083
2020,254329,901 South Plymouth Condominium Association,60605,Multifamily Housing,199600,1979,58,5821462.7,4643106.7,41.8682103,-87.62733
2020,129621,Chalet Living and Rehab,60626,Senior Living Community,77004,1976,7,3786934.1,11175808,42.01036185,-87.66829765
2020,251757,"Thorp Scholastic Academy, Ole A -CPS",60634,K-12 School,93200,1918,61,1246831.5,5832379.9,41.94895308,-87.77785435
2020,250165,River East Center Campus,60611,Mixed Use Property,1975361,2001,20,64410587.3,102156516.4,41.8914469,-87.61889748
2020,251714,Lloyd Elementary -CPS,60639,K-12 School,150436,1907,32,4506708.5,7731610.1,41.91901757,-87.74788079
2020,101910,Michael A. Bilandic Building,60601,Office,464498,1920,79,13045901.7,12600101.5,41.88474397,-87.63249596
2020,159419,"Fifth Praire Shores, LLC",60616,Multifamily Housing,289267,1960,21,4709257.4,32647070.7,41.84364282,-87.61673336
2020,256550,NEMA Chicago,60605,Multifamily Housing,1343820,2019,60,32621765.2,38781158.3,41.865858,-87.6195328
2020,255023,Clybourn1200,60610,Multifamily Housing,159968,2017,50,3595190,6327708.9,41.9037676,-87.63983401
2020,166122,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",60612,K-12 School,263250,1928,79,4772375,7730980.2,41.88332,-87.667592
2020,254102,Residences at the VIC,60657,Multifamily Housing,148500,2007,100,1555012.2,2847150,41.9393396,-87.65423
2020,100372,Holy Cross Hospial,60629,Hospital (General Medical & Surgical),409910,1911,76,5050093.6,130271002.2,41.770003,-87.690841
2020,113507,LaSalle Terrace Condominium Association,60610,Multifamily Housing,166700,1976,36,4079885.6,8584849.7,41.91023785,-87.63363509
2020,147565,Lakeside Lofts,60616,Multifamily Housing,101333,2006,89,1761482.5,5144159.1,41.84550365,-87.63055693
2020,251889,Smyser -CPS,60634,K-12 School,78111,1932,64,1313825.7,3965590.1,41.95925122,-87.78261967
2020,244613,Fairbanks at Cityfront Plaza,60611,Multifamily Housing,819946,2006,70,18128454.4,42229277.5,41.89139925,-87.62079715
2020,173476,St. Demetrios Greek Orthodox Church,60625,Worship Facility,68141,1924,67,400830.8,1780584.4,41.97419798,-87.696868
2020,100533,Englewood Academy HS -CPS,60621,K-12 School,188800,1979,21,7213052,12271600.2,41.78205573,-87.63426731
2020,101961,Inland Steel Building,60603,Office,311003,1958,63,8659372.7,19525200.4,41.88108964,-87.62858918
2020,242563,(IL279) - 212 W Washington Condo,60606,Multifamily Housing,344323,1912,47,8344073.4,12464463.5,41.88326842,-87.63512143
2020,116752,Ike Sims Village,60624,Multifamily Housing,68664,1981,12,3806013.4,2429039.2,41.8808242,-87.72327934
2020,115046,4200 N Marine Drive,60613,Multifamily Housing,114400,1957,38,1707115.8,7366474.7,41.95402016,-87.6620278
2020,160208,The James Hotel,60611,Hotel,72000,2000,26,7092609.8,6564979.8,41.89325924,-87.62587447
2020,222943,University Park Condominium Association,60615,Multifamily Housing,579783,1961,85,1287153.1,48472538.7,41.79535144,-87.59076509
2020,118892,Parc Chestnut Condominium Association,60610,Multifamily Housing,490568,2006,41,11421519.7,19866551.2,41.897733,-87.635684
2020,251451,Madero Middle -CPS,60623,K-12 School,62071,1996,15,2363458.7,3809910,41.840909,-87.705078
2020,254153,Terra Cotta Commons Condominium,60614,Multifamily Housing,63110,1920,86,825649.4,1711368.1,41.8842525,-87.63245
2020,102336,Institute of Cultural Affairs,60640,Office,206154,1921,89,2249637.3,9225368.1,41.96865627,-87.65524596
2020,160198,"The Blackstone, A Renaissance Hotel",60605,Hotel,385000,2008,99,6875145,11153711,41.87333117,-87.62422947
2020,256736,Jane Addams Elementary School,60617,K-12 School,54000,1948,34,1563900.9,3503850.2,41.74246,-87.58007
2020,121374,8522-Edgewater,60640,Supermarket/Grocery Store,55129,2013,55,9404755.4,6354424.8,41.976491,-87.654964
2020,160186,Crowne Plaza Chicago Metro,60661,Hotel,114000,1968,87,6706204.5,7115700.2,41.88176792,-87.6467544
2020,175523,222 West Hubbard Street,60654,Office,66095,1905,76,2260402.2,1730722.9,41.89022006,-87.63488473
2020,251416,Linne Elementary -CPS,60618,K-12 School,105920,1895,83,1690363,3212050,41.94009886,-87.70193107
2020,251898,Durkin Park Elementary -CPS,60652,K-12 School,79722,1961,57,2216222.5,2182680,41.73937185,-87.73003923
2020,244200,Michigan Avenue Tower Condominium Association,60605,Multifamily Housing,441181,2008,51,11810740.5,14165958.4,41.8659887,-87.624587
2020,252071,Library Tower Condo Assoc.,60605,Multifamily Housing,387025,2008,72,7950181.2,14376343.1,41.87510719,-87.6279746
2020,251574,Ariel Elemenentary-CPS,60653,K-12 School,147109,1893,32,4164781,8226969.9,41.81098941,-87.59800845
2020,251668,Ravenswood Elementary -CPS,60613,K-12 School,76423,1915,66,947881,4502900.4,41.96092641,-87.6712754
2020,251593,"Clay Elementary, Henry -CPS",60633,K-12 School,81950,1917,43,1370731.8,5550389.7,41.655086,-87.544686
2020,234641,Winston Towers II,60645,Multifamily Housing,360669,1966,27,6925520.8,23023027.5,42.00574707,-87.70855729
2020,254048,Catholic Charities: St. Leo Residence,60620,Multifamily Housing,67170,2006,31,2413440.7,4708995.6,41.73979805,-87.65349931
2020,119039,Churchview Manors and Churview supportive Living,60629,Senior Living Community,74185,2004,25,2325856.1,5277976.8,41.77517105,-87.71389848
2020,251429,Mayo Elementary -CPS,60653,K-12 School,62750,1961,65,1044686.8,3067909.7,41.827401,-87.620126
2020,255970,Hayden,60607,Multifamily Housing,110435,2020,38,3185730,5929664.5,41.88,-87.6548399
2020,251588,"Taylor, Douglas -CPS",60617,K-12 School,87628,1923,21,1010667.5,9732470.2,41.71516268,-87.5337866
2020,251698,Bradwell Arts & Sciences Elementary -CPS,60649,K-12 School,143266,1895,91,1661189,4377879.9,41.75447542,-87.55737916
2020,244534,One Museum Park East Condominium Association,60605,Multifamily Housing,1151549,2008,81,19781459.6,39525344.4,41.86619413,-87.62121604
2020,251491,Frazier International Magnet -CPS,60624,K-12 School,72000,1966,31,1264862.9,6140970,41.86684246,-87.72623661
2020,103597,30 N LaSalle St,60602,Office,1095104,1974,76,32826510.8,31469670.8,41.88284628,-87.63290243
2020,103645,203 N LaSalle St,60601,Office,1191631,1985,74,34656715.2,400857.8,41.88606221,-87.63169041
2020,161131,731 S Plymouth Ct,60605,Multifamily Housing,151865,1913,46,6054672.5,2473410.2,41.87269291,-87.62837598
2020,244360,1720 South Michigan Condominium Association,60616,Multifamily Housing,684299,2007,55,17101534.3,27121534.4,41.85862339,-87.62421069
2020,251651,Gary Elementary -CPS,60623,K-12 School,132193,1911,51,2945797.4,6414819.6,41.83790661,-87.71883999
2020,160105,Wyndham Grand Chicago Riverfront,60601,Hotel,250000,2000,52,7420795.6,12522087.3,41.88737377,-87.62565442
2020,251683,Cooper Dual Language Academy -CPS,60608,K-12 School,131200,1885,95,1515428.9,2795680.3,41.85622477,-87.66713005
2020,251408,Clissold Elementary -CPS,60643,K-12 School,63257,1930,46,1366837.9,3532610.3,41.692987,-87.679776
2020,160373,Hubbard Place Apartments,60654,Multifamily Housing,686958,2013,70,13635950.2,19413967.5,41.89042593,-87.63864217
2020,100631,Hubbard HS -CPS,60629,K-12 School,218200,1929,90,2657029.3,8436730.5,41.77984105,-87.71918715
2020,237384,Maple Tower Condominiums,60610,Multifamily Housing,135086,2005,70,4399460.2,869227.2,41.90163587,-87.62949064
2020,251518,"Pulaski Fine Arts Academy, Casimir -CPS",60647,K-12 School,103904,1949,15,3876184.4,6403839.9,41.91878607,-87.68377909
2020,160347,Dwight Lofts LLC,60605,Multifamily Housing,205348,2008,79,7500367.8,9142095.7,41.87384,-87.630698
2020,251600,Mozart -CPS,60647,K-12 School,92365,1911,57,1874065.3,4455830.1,41.92132822,-87.72244339
2020,251401,"Neil Elementary, Jane A -CPS",60619,K-12 School,71870,1953,68,333471.8,5564070.3,41.73856744,-87.62024724
2020,156373,225 W Ohio St,60654,Office,60892,1907,79,1293163.6,1677071.8,41.89234316,-87.63534055
2020,165819,Washington Park SRO,60615,Multifamily Housing,97465,1982,96,1487504.1,2343124.9,41.80363832,-87.62178136
2020,101713,Aon Center,60601,Office,3457865,1972,81,88649320.1,74788659.9,41.88529085,-87.62152084
2020,111837,Marlborough Condominium Association,60614,Multifamily Housing,196000,1912,83,2107442.3,11078440.1,41.92201051,-87.65461957
2020,252031,57135-Chicago-Downtown,60611,Hotel,177137,1987,71,5515610.6,12566948.8,41.89981331,-87.62141411
2020,244318,The Edge Lofts & Tower Condominium Association,60661,Multifamily Housing,353135,2004,14,8998699.6,18600712.2,41.87894567,-87.64445559
2020,251530,Pasteur Elementary -CPS,60629,K-12 School,98900,1927,78,1704448.1,3629759.9,41.78617286,-87.73238001
2020,251692,Nightingale Elementary -CPS,60632,K-12 School,140838,1926,26,4481327.7,7751970.2,41.79805484,-87.68983953
2020,101756,Cook County Building,60602,Office,638592,1906,53,31463456.1,30530798.1,41.88385328,-87.63167966
2020,252127,Circa 922,60607,Multifamily Housing,204813,2015,48,4917504,7406928.1,41.8831353,-87.65056
2020,159892,Promontory Apartments,60637,Multifamily Housing,180351,1949,53,3265741.3,13586599.8,41.794687,-87.58046479
2020,260149,Riverside Square and River's Edge - Chicago,60608,Supermarket/Grocery Store,74495,1987,100,2501105.3,1713599.9,41.8365795,-87.66384491
2020,251260,The Belmont by Reside,60657,Multifamily Housing,475020,1924,78,7579433.3,19817492.8,41.93973305,-87.64000019
2020,255017,Midway Pointe Senior Residences,60638,Multifamily Housing,88080,2017,92,2168049.7,1491337.5,41.80752955,-87.74863158
2020,256680,Old Town Village East,60610,Multifamily Housing,127872,2006,98,904118.5,1933907.4,41.90423,-87.638225
2020,252216,Beach Point Tower Condominium Association,60660,Multifamily Housing,160000,1956,17,2879608.5,12834131.1,41.98760277,-87.65521384
2020,233760,Park Newberry Condominiums,60610,Multifamily Housing,354934,1995,4,10694320.7,23494153,41.89821936,-87.63056762
2020,103766,640 N LaSalle Dr,60654,Office,329845,1969,68,16202311.9,2245160.3,41.89361489,-87.63342151
2020,159982,Mahalia Jackson Apt,60617,Multifamily Housing,103330,1974,9,3471545.9,15959119.9,41.72901449,-87.55425891
2020,251488,Esmond Elementary -CPS,60643,K-12 School,53700,1891,33,763518.4,5371580.2,41.6887948,-87.66968662
2020,101560,IL0054ZZ - Clark Fedral Bldg,60605,Office,636217,1912,42,29743740.4,37313760.5,41.87500832,-87.63122808
2020,251404,"Burr Elementary, Jonathan -CPS",60622,K-12 School,60929,1896,34,800519.2,5661870.2,41.912405,-87.668589
2020,251541,Reilly Es -CPS,60618,K-12 School,113870,1914,34,3054648.8,7421690.2,41.94159842,-87.7192968
2020,119629,Costco,60614,Supermarket/Grocery Store,142374,2001,72,15137211,11667060,41.93130757,-87.67737064
2020,251470,Dett,60612,K-12 School,70600,1961,47,1412518.4,4165479.8,41.87995,-87.679167
2020,251287,SpringHill Suites Chicago O'Hare / Hampton Inn and Suites Chicago,60631,Hotel,160000,2000,19,11048462,7829400.3,41.98515127,-87.83015397
2020,251536,Altgeld Elementary-CPS,60636,K-12 School,69366,1904,21,1435152.1,7289270,41.76532371,-87.65837324
2020,162430,Providence St. Mel School,60624,K-12 School,187689,1929,86,3124802.2,5425012.1,41.87883538,-87.715548
2020,239695,1550 CA,60610,Multifamily Housing,406524,1960,81,3156806.2,24867980.7,41.9109805,-87.62673635
2020,157602,Prairie House at Central Station,60605,Multifamily Housing,403018,2001,32,10323384.3,13603403.2,41.86170088,-87.6202348
2020,255935,Woodlawn Station,60637,Multifamily Housing,86580,2017,43,1952011.8,3710472.5,41.78456,-87.61478
2020,116716,1819 S Michigan Condominium Association,60616,Multifamily Housing,53143,2005,11,3780912.2,12504795.5,41.84550365,-87.63055693
2020,251461,"Washington Elementary, Harold -CPS",60619,K-12 School,77300,1920,41,2001866.3,3969969.9,41.72857136,-87.59664019
2020,256663,630 N Franklin Condominium Association,60654,Multifamily Housing,275000,2005,32,6539879.4,13742321.9,41.89237,-87.636345
2020,251389,"Hendricks C A, Thomas A -CPS",60609,K-12 School,56857,1954,69,972862.6,2493320.1,41.815727,-87.633569
2020,251399,Park Manor Elementary -CPS,60637,K-12 School,62706,1913,23,1664651.4,4664039.9,41.76678503,-87.61131313
2020,159411,1130 S Michigan Ave,60605,Multifamily Housing,810159,1967,60,15394169.5,40738355.7,41.86850103,-87.62470375
2020,119552,"Jewel Osco, 03344-Roosevelt & Ashland",60608,Supermarket/Grocery Store,63407,2002,47,10120207.2,4681600.1,41.86590325,-87.66859961
2020,160293,33 W Ontario Condominium Association,60654,Multifamily Housing,1210471,2003,88,21300474.5,28702301.1,41.89324294,-87.62922972
2020,241892,CityView Condominium Association,60611,Multifamily Housing,620690,1991,83,10359889.6,20637320.7,41.89028754,-87.61815831
2020,252301,1934 N Washtenaw Condominium Association,60647,Multifamily Housing,122864,2001,86,1939674.2,2415054,41.91657013,-87.69476694
2020,255020,Ace Hotel Chicago,60607,Hotel,140429,2017,62,7992883.7,5534244.1,41.88717109,-87.65213461
2020,103816,AMA Plaza,60611,Office,1881319,1971,75,84953984.2,41766636.5,41.88863693,-87.62751976
2020,252024,CICS Loomis,60643,K-12 School,150000,1961,69,1052673.7,3295800,41.72018758,-87.65671845
2020,126126,Pete's Kedgie,60632,Supermarket/Grocery Store,104000,1990,46,8478849.5,4921832.6,41.80740022,-87.70533038
2020,132904,Edens Office,60646,Office,91200,1974,95,1358753,2628173.3,41.98985293,-87.74879114
2020,251563,Castellanos Elementary -CPS,60623,K-12 School,84116,1912,91,1010908.5,2449380,41.869894,-87.764317
2020,157152,Metro,60607,Multifamily Housing,314000,2001,97,4911168,10320226.1,41.88080894,-87.65745938
2020,101776,Hyatt Regency Chicago,60601,Hotel,2295495,1974,93,50754797.4,99737806.5,41.88770297,-87.62267404
2020,251544,Peck Elementary-CPS,60629,K-12 School,110691,1926,54,2671453.5,4498029.7,41.78841222,-87.71972596
2020,251447,Foster Park Elementary -CPS,60620,K-12 School,68005,1937,30,2688278.2,1924759.9,41.73927,-87.668041
2020,244600,One Museum Park West,60605,Multifamily Housing,809005,2008,53,19985281.4,29349962.5,41.86712211,-87.62162242
2020,251607,"Nash Elementary, Henry H -CPS",60644,K-12 School,108716,1895,45,2960821.7,5304000.2,41.89203698,-87.7473847
2020,160294,Adler Place,60616,Multifamily Housing,554648,2013,69,10328131,20819901,41.85950051,-87.62036992
2020,251561,New Field Primary -CPS,60626,K-12 School,85500,2003,22,3362431,3725970.1,42.00735706,-87.6727274
2020,160322,210 N Wells St,60606,Multifamily Housing,597377,2011,19,18187731,10554205.5,41.886028,-87.633976
2020,229057,Park View Towers,60614,Multifamily Housing,86222,1975,18,5533097.1,1390332.6,41.93214333,-87.64141628
2020,251652,Hedges Elementary -CPS,60609,K-12 School,101940,1906,48,2079177.6,5946629.6,41.80724939,-87.67297316
2020,252072,641 W Lake St,60661,Office,112458,1903,99,1356461.1,1713676.7,41.88538531,-87.6445013
2020,231775,Quadrangle House,60649,Multifamily Housing,322820,1968,11,5094886.3,27136950.6,41.77303762,-87.56716244
2020,251687,Peirce Sch Of Intl Studies -CPS,60660,K-12 School,133238,1915,50,3162841.2,6318939.5,41.98305225,-87.66613248
2020,251690,Chicago Military Academy-Bronzeville -CPS,60653,K-12 School,121900,1915,83,2174158.8,4221609.6,41.83033232,-87.61897054
2020,160304,The Tides at Lakeshore East,60601,Multifamily Housing,615718,2007,43,13922609.3,30171568.4,41.88673545,-87.61817365
2020,252034,Center Home For Hispanic Elderly,60622,Senior Living Community,75000,1925,41,1932526.3,10748000,41.90676046,-87.69632541
2020,159091,Continental Plaza Apartments,60620,Multifamily Housing,203603,2006,33,5918667.3,4405600.4,41.756041,-87.656765
2020,240215,757 Orleans at Chicago Condominium,60654,Multifamily Housing,412335,2008,50,4816679.3,25776196.7,41.89626597,-87.63667376
2020,255013,Kenect Chicago,60642,Multifamily Housing,125549,2018,20,6101379.6,5147367.2,41.89142613,-87.64880834
2020,244593,111 E Chestnut Condominium Association,60611,Multifamily Housing,672000,1970,42,22604027.9,12209078.2,41.89798276,-87.62522385
2020,116413,CASL Senior Housing,60616,Multifamily Housing,81994,1997,48,1298132.9,5685877.5,41.84550365,-87.63055693
2020,159573,The Patricians,60614,Multifamily Housing,189852,1927,50,3430114.5,17454700,41.92527418,-87.63936489
2020,251568,Vaughn Occupational HS -CPS,60641,K-12 School,50289,1920,24,1996204.9,2772279.7,41.96026421,-87.76436775
